#,Action,New,Description,Parameters,Control Required, Example(Values)
140,SELECT_OPTION_FOUND,-,Checks an item is found in a drop down,Item,Yes,Value not Required
141,SELECT_OPTION_NOT_FOUND,-,Checks an item is not found in a drop down,Item,Yes,Value not Required
142,SELECT_OPTIONS_FOUND,-,Checks an item is found in a drop down,Item,Yes,Value not Required
143,SELECT_SAP_TAB,-,Breaks out of a reusable component,None,No,Value not Required
144,SELECTED,-,Validates that a check box or a radio button are selected,None,Yes,Value not Required
145,SEND_BKEYS,-,Sends keys such as Enter;Tab;Back,Key,No,Enter
146,SEND_ENTER_WHILE_ELEMENT_VISIBLE,-,Sends enter key while an element is visible,None,Yes,Value not Required
147,SEND_KEYS,-,Sends keys such as Enter;Tab;Back,Key,No,Enter
148,SET_CELL_VALUE_BY_COLUMN_VAR,*,Sets a cell value under a specified column name using a specified row index,Column name{P}Row Index{P}Cell Value,Yes,Material{P}1{P}100000244
149,SET_CELL_VALUE_BY_COLUMN_VAR_ENTER,*,Sets a cell value under a specified column name using a specified row index followed by pressing enter,Column name{P}Row Index{P}Cell Value,Yes,Purch. organization{P}1{P}1710
150,SET_FIELD_VALUE_VAR,*,Sets text field value using dynamic field name,Dynamic Field name{P}Set Value,Yes,PO Quantity{P}3
151,SET_GLOBAL_VARIABLE,-,Sets a global variable with a user defined value,Parameter name{P}Value,No,Asset ID{P}AT-12345
152,SET_GV,-,Sets a dictionary parameter value,Dictionary parameter name{P}Value,Yes,Application name{P}Vityl
153,SET_INNERHTML,*,Sets an element HTMLlabel inner HTML value,element HTML label,Yes,Hello world
154,SET_PARAM_VALUE,-,Sets a global variable with an element value,Parameter name,Yes,Asset ID
155,SET_TEXT,-,Sets Element Text Value,Text,Yes,Text
156,SET_VALUE,-,Sets an element attribute value to a specific text using Java script,Text,Yes,Hello World
157,SINGLE_SELECT,-,Selects an item from a single list element,Item,Yes,one
158,SNAP_SHOT,-,Takes a screen shot and puts it in the report,None,No,Value not Required
159,SNAP_SHOT_ELEMENT,-,Takes a screen shot of a specific element,None,Yes,Value not Required
160,STORE_ELEMENT,*,Collects an element and stores it in a global variable to be used later,None,Yes,Value not Required
161,SUB,-,Waits for an element value not to be empty,None,Yes,Value not Required
162,SWITCH_TO_IFRAME,-,Switches driver to a specific iframe,None,No,
163,SWITCH_TO_PARENT_WINDOW_BACK,-,Updates a string by replacing a portion of it,String{P}Replace From{P}Replace To,No,ABC{P}A{P}B
164,SWITCH_WINDOW_PARENT,-,Switches driver to the parent window,None,No,Value not Required
165,TEXT,-,Enters text to an element text field,Text,Yes,Hello World
166,TEXT_VAR,*,Enters text to an element text field using a variant,Variant{P}Text,Yes,Agiliti Asset ID{P}1574140
167,TEXT_ENTER,-,Enters text to an element text field followed by enter key,Text,Yes,Hello World
168,TEXT_SLOW,-,Enters text to an element text field Slowly,Text,Yes,Hello World
169,TEXT_SLOW_ENTER,-,Enters text to an element text field very slowly then send {Enter},Text,Yes,Hello World
170,TEXT_SLOW_ENTER_TAB,-,Enters text to an element text field very slowly then send {Enter} followed by {tab},Text,Yes,Hello World
171,TEXT_SLOW_SELECT,-,Enters text to an element text field slowly. Then select displayed text,Text,Yes,Hello World
172,TEXT_VERY_SLOW,-,Enters text to an element text field very slowly,Text,Yes,Hello World
173,TEXTING,-,Enters a number of strings delimited by \n,Strings,Yes,String1\nString2\nString3\n...
174,UNCHECK,-,UnChecks a check box,None,Yes,Value not Required
